,business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y
57,1099,ANGLICAN CHURCH OF MONTREAL,99   Rue Bernard Ouest,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19931117,45.526209,-73.603195,296739.02,5042926.5
413,1461,CENTRE ESPOIR NOUVEAU,6225   Avenue Godfrey ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930209,45.467756,-73.62694,294873.95,5036433.2
1617,14456,MIDNIGHT KITCHEN,3480  304 Rue McTavish ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20110912,45.503192,-73.576817,298797.05,5040366.31
3656,8950,LA CAFETERIA COMMUNAUTAIRE MULTI CAF,3825   Boulevard Cavendish ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20181129,45.464262,-73.630191,294619.1,5036045.39
3657,14613,L'EGLISE UNIEDUCANADA SAINT COLUMBAN HOUSE,2365   Rue Grand Trunk ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930413,45.478811,-73.565273,299697,5037656.01
4121,14774,EGLISE CATHOLIQUE SAINT-CHARLES,2115   Rue Centre ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930307,45.48129,-73.564722,299740.27,5037931.44
4284,13637,CENTRE BOOTH DE L'ARMEE DU SALUT,880   Rue Guy ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930430,45.492505,-73.572229,299154.55,5039178.31
4328,12988,BONNE BOUFFE SANS FRONTIERE,1850  0 Rue Bercy ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20091102,45.533442,-73.547918,301057.38,5043726.17
4455,6439,MISSION BON ACCUEIL,4755   Rue Acorn ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040112,45.473337,-73.590706,297707.96,5037049.62
5158,19511,CENTRE STE-CROIX #344,85   Rue Jarry Ouest,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191216,45.536008,-73.633019,294411.15,5044018.86
