ID_Appels,Date,Province,Municipalite-arrondissement,Region,Age,Genre,Mode de communication,Langue
82726878,2021-01-02,QC,Le Plateau-Mont-Royal,Montréal,37,Homme,Appels téléphoniques,Français
82721953,2021-01-02,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,44,Famille/Couple/Groupes,Clavardage,Français
82729195,2021-01-02,QC,Lachine,Montréal,36,Femme,Clavardage,Anglais
82749692,2021-01-03,QC,Ahuntsic-Cartierville,Montréal,26,Femme,Appels téléphoniques,Français
82756689,2021-01-03,QC,Ahuntsic-Cartierville,Montréal,34,Femme,Appels téléphoniques,Français
82771851,2021-01-04,QC,Côte-Saint-Luc,Montréal,74,Femme,Appels téléphoniques,Français
82775757,2021-01-04,QC,Lachine,Montréal,25,Femme,Appels téléphoniques,Français
82788960,2021-01-04,QC,Le Sud-Ouest,Montréal,66,Femme,Appels téléphoniques,Français
82772233,2021-01-04,QC,Ahuntsic-Cartierville,Montréal,10,Femme,Appels téléphoniques,Français
82781471,2021-01-04,QC,Mercier—Hochelaga-Maisonneuve,Montréal,57,Femme,Appels téléphoniques,Français
82772936,2021-01-04,QC,Saint-Léonard,Montréal,41,Homme,Appels téléphoniques,Français
82773558,2021-01-04,QC,Côte-des-Neiges—Notre-Dame-de-Grâce,Montréal,19,Homme,Appels téléphoniques,Français
82773156,2021-01-04,QC,Montréal-Nord,Montréal,38,Homme,Appels téléphoniques,Français
82779679,2021-01-04,QC,Mercier—Hochelaga-Maisonneuve,Montréal,60,Homme,Appels téléphoniques,Français
82794370,2021-01-04,QC,Mercier—Hochelaga-Maisonneuve,Montréal,34,Homme,Appels téléphoniques,Français
82785397,2021-01-04,QC,Côte-Saint-Luc,Montréal,61,Homme,Appels téléphoniques,Anglais
82785623,2021-01-04,QC,Pointe-Claire,Montréal,43,Homme,Appels téléphoniques,Anglais
82777121,2021-01-04,QC,Le Plateau-Mont-Royal,Montréal,62,Femme,Appels téléphoniques,Anglais
82830938,2021-01-05,QC,Le Plateau-Mont-Royal,Montréal,55,Femme,Appels téléphoniques,Français
82832799,2021-01-05,QC,Le Plateau-Mont-Royal,Montréal,74,Femme,Appels téléphoniques,Français
82841911,2021-01-05,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,66,Femme,Appels téléphoniques,Français
82838879,2021-01-05,QC,Montréal-Nord,Montréal,13,Femme,Appels téléphoniques,Français
82829351,2021-01-05,QC,Rosemont—La Petite-Patrie,Montréal,33,Femme,Appels téléphoniques,Français
82832760,2021-01-05,QC,Rosemont—La Petite-Patrie,Montréal,33,Femme,Appels téléphoniques,Français
82832254,2021-01-05,QC,Mercier—Hochelaga-Maisonneuve,Montréal,39,Femme,Appels téléphoniques,Français
82833136,2021-01-05,QC,Mercier—Hochelaga-Maisonneuve,Montréal,66,Femme,Appels téléphoniques,Français
82842300,2021-01-05,QC,Mercier—Hochelaga-Maisonneuve,Montréal,34,Femme,Appels téléphoniques,Français
82828210,2021-01-05,QC,Dollard-Des Ormeaux,Montréal,26,Femme,Clavardage,Français
82842186,2021-01-05,QC,Saint-Léonard,Montréal,52,Femme,Clavardage,Français
82834741,2021-01-05,QC,Saint-Laurent,Montréal,,Homme,Clavardage,Français
82819024,2021-01-05,QC,Saint-Léonard,Montréal,64,Homme,Appels téléphoniques,Français
82836735,2021-01-05,QC,Côte-des-Neiges—Notre-Dame-de-Grâce,Montréal,27,Homme,Appels téléphoniques,Français
82820758,2021-01-05,QC,Mercier—Hochelaga-Maisonneuve,Montréal,61,Homme,Appels téléphoniques,Français
82834594,2021-01-05,QC,Rosemont—La Petite-Patrie,Montréal,67,Homme,Appels téléphoniques,Français
82843532,2021-01-05,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,60,Famille/Couple/Groupes,Appels téléphoniques,Français
82817666,2021-01-05,QC,Côte-Saint-Luc,Montréal,,Famille/Couple/Groupes,Clavardage,Anglais
82817665,2021-01-05,QC,Côte-des-Neiges—Notre-Dame-de-Grâce,Montréal,49,Homme,Appels téléphoniques,Anglais
82834966,2021-01-05,QC,Ville-Marie,Montréal,27,Homme,Appels téléphoniques,Anglais
82818462,2021-01-05,QC,Le Plateau-Mont-Royal,Montréal,49,Femme,Appels téléphoniques,Anglais
82885781,2021-01-06,QC,Saint-Laurent,Montréal,24,Femme,Appels téléphoniques,Français
82868185,2021-01-06,QC,Le Sud-Ouest,Montréal,30,Femme,Appels téléphoniques,Français
82884857,2021-01-06,QC,Le Sud-Ouest,Montréal,68,Femme,Appels téléphoniques,Français
82870982,2021-01-06,QC,Saint-Léonard,Montréal,60,Femme,Appels téléphoniques,Français
82869584,2021-01-06,QC,Rivière-des-Prairies—Pointe-aux-Trembles,Montréal,33,Femme,Appels téléphoniques,Français
82875220,2021-01-06,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,49,Femme,Appels téléphoniques,Français
82868428,2021-01-06,QC,Montréal-Est,Montréal,69,Homme,Appels téléphoniques,Français
82881478,2021-01-06,QC,Saint-Léonard,Montréal,,Homme,Appels téléphoniques,Français
82863327,2021-01-06,QC,Le Sud-Ouest,Montréal,46,Homme,Appels téléphoniques,Français
82864947,2021-01-06,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,51,Homme,Appels téléphoniques,Français
82866360,2021-01-06,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,35,Homme,Appels téléphoniques,Français
82878572,2021-01-06,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,,Homme,Appels téléphoniques,Français
82872216,2021-01-06,QC,Le Plateau-Mont-Royal,Montréal,33,Homme,Appels téléphoniques,Français
82870746,2021-01-06,QC,Mercier—Hochelaga-Maisonneuve,Montréal,,Homme,Appels téléphoniques,Français
82876967,2021-01-06,QC,Mercier—Hochelaga-Maisonneuve,Montréal,64,Homme,Appels téléphoniques,Français
82863311,2021-01-06,QC,Rosemont—La Petite-Patrie,Montréal,,Homme,Appels téléphoniques,Français
82878032,2021-01-06,QC,Rosemont—La Petite-Patrie,Montréal,52,Homme,Appels téléphoniques,Français
82886731,2021-01-06,QC,Côte-des-Neiges—Notre-Dame-de-Grâce,Montréal,46,Famille/Couple/Groupes,Appels téléphoniques,Anglais
82922753,2021-01-07,QC,Verdun,Montréal,51,Femme,Appels téléphoniques,Français
82904648,2021-01-07,QC,Le Sud-Ouest,Montréal,40,Femme,Appels téléphoniques,Français
82921919,2021-01-07,QC,Rivière-des-Prairies—Pointe-aux-Trembles,Montréal,66,Femme,Appels téléphoniques,Français
82923769,2021-01-07,QC,Rivière-des-Prairies—Pointe-aux-Trembles,Montréal,66,Femme,Appels téléphoniques,Français
82929123,2021-01-07,QC,Rivière-des-Prairies—Pointe-aux-Trembles,Montréal,66,Femme,Appels téléphoniques,Français
82910733,2021-01-07,QC,Ahuntsic-Cartierville,Montréal,55,Femme,Appels téléphoniques,Français
82915051,2021-01-07,QC,Ahuntsic-Cartierville,Montréal,55,Femme,Appels téléphoniques,Français
82914397,2021-01-07,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,37,Femme,Appels téléphoniques,Français
82909449,2021-01-07,QC,Montréal-Nord,Montréal,75,Femme,Appels téléphoniques,Français
82913268,2021-01-07,QC,Montréal-Nord,Montréal,59,Femme,Appels téléphoniques,Français
82919933,2021-01-07,QC,Montréal-Nord,Montréal,14,Femme,Appels téléphoniques,Français
82913785,2021-01-07,QC,Montréal-Nord,Montréal,,Femme,Appels téléphoniques,Français
82916624,2021-01-07,QC,Côte-Saint-Luc,Montréal,,Femme,Appels téléphoniques,Français
82917467,2021-01-07,QC,Montréal-Nord,Montréal,,Femme,Appels téléphoniques,Français
82921553,2021-01-07,QC,Saint-Léonard,Montréal,,Femme,Appels téléphoniques,Français
82908109,2021-01-07,QC,Côte-des-Neiges—Notre-Dame-de-Grâce,Montréal,,Femme,Courriels,Français
82905965,2021-01-07,QC,Rivière-des-Prairies—Pointe-aux-Trembles,Montréal,75,Homme,Appels téléphoniques,Français
82919042,2021-01-07,QC,Saint-Laurent,Montréal,,Homme,Appels téléphoniques,Français
82915767,2021-01-07,QC,Ahuntsic-Cartierville,Montréal,50,Homme,Appels téléphoniques,Français
82926439,2021-01-07,QC,Ahuntsic-Cartierville,Montréal,32,Homme,Appels téléphoniques,Français
82907988,2021-01-07,QC,Montréal-Nord,Montréal,70,Homme,Appels téléphoniques,Français
82920144,2021-01-07,QC,Montréal-Nord,Montréal,60,Homme,Appels téléphoniques,Français
82910070,2021-01-07,QC,Ville-Marie,Montréal,,Homme,Appels téléphoniques,Français
82931955,2021-01-07,QC,Ville-Marie,Montréal,69,Homme,Appels téléphoniques,Français
82913850,2021-01-07,QC,Mercier—Hochelaga-Maisonneuve,Montréal,55,Homme,Appels téléphoniques,Français
82927051,2021-01-07,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,,Autre,Clavardage,Français
82913541,2021-01-07,QC,Saint-Léonard,Montréal,10,Famille/Couple/Groupes,Courriels,Français
82910305,2021-01-07,QC,Ahuntsic-Cartierville,Montréal,45,Homme,Appels téléphoniques,Anglais
82968083,2021-01-08,QC,Le Sud-Ouest,Montréal,74,Femme,Appels téléphoniques,Français
82954442,2021-01-08,QC,Villeray—Saint-Michel—Parc-Extension,Montréal,33,Femme,Appels téléphoniques,Français
82951115,2021-01-08,QC,Rosemont—La Petite-Patrie,Montréal,,Femme,Appels téléphoniques,Français
82972381,2021-01-08,QC,Côte-Saint-Luc,Montréal,,Femme,Appels téléphoniques,Français
82950348,2021-01-08,QC,Anjou,Montréal,49,Homme,Appels téléphoniques,Français
