ID_Appels,Source_revenu_menage,Niveau_education,Situation_menage,Situation_logement,Citoyennete_statut_immigration,Historique_recours_aide_alimentaire,Obtenu_aide_grace_aux_ressources,Apres_combien_jours_demarches,Apres_combien_jours_obtenu_aide,Retourner_aux_ressources_aide,Niveau_satisfaction_globale,Pourquoi_pas_obtenu_aide
91794401,,,,,,,,,,,,
91805422,Aide sociale,Secondaire,Couple sans enfant,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,4,Coût trop élevé
91895861,,,,,,,,,,,,
91950631,Régimes dinvalidité,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Même jour,,,,
92021668,Aide sociale,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,,,Oui  au moins une fois par mois,5,
92029823,,,,,,,,,,,,
92189185,Emploi temps plein,Universitaire - 1er cycle,Monoparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  mais moins d'une fois par mois,5,
92198187,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Après 2 jours ou plus,Na pas reçu daide encore,,,Conditions d'admission non remplies
92213180,Aide sociale,Secondaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne acquise,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Lendemain,Après 1 semaine ou plus,Non  je n'ai pas été satisfait·e du service,1,Conditions d'admission non remplies
92256211,Pension de vieillesse,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  n'a pas obtenu d'aide,Même jour,,,,Incapacité à joindre l'organisme
92297652,Emploi temps plein,Primaire,Monoparentale,Marché locatif privé,Citoyenneté canadienne acquise,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Après 2 jours ou plus,Après 2 jours ou plus,Oui  au moins une fois par mois,3,
92478422,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,,,Oui  au moins une fois par mois,,Conditions d'admission non remplies
92487390,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Ne les a pas contacté,,Oui  au moins une fois par mois,5,
92554757,Assurance emploi (chômage),Professionnel (DEP),Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Ne les a pas contacté,Na pas reçu daide encore,Oui  au moins une fois par mois,,Autres
92821273,Pension de vieillesse,Professionnel (DEP),Cohabitation,Propriétaire,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Ne les a pas contacté,Na pas reçu daide encore,,,
92830235,Assurance emploi (chômage),Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
92833348,Autre,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,,Après 2 jours ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
92835334,Allocation familiale,Collégial (Technique),Biparentale,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
92880014,,,,,,,,,,,,
92933796,,,,,,,,,,,,
92966871,Emploi temps partiel,Universitaire - 1er cycle,Personne célibataire vivant seule,Marché locatif privé,Résidence permanente,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,4,
93003064,Emploi temps plein,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
93004312,Aucun revenu,Universitaire - 2e cycle,Cohabitation,Marché locatif privé,Ne souhaite pas répondre,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
93095667,Aide sociale,Collégial (Technique),Couple sans enfant,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
